LATITUDE,LONGITUDE,NAME,STID,CELLS11,CELLS12,CELLS13
41.48362,-120.5615,Alturas,KAAT,54cb90c,54cb90b,54cb90a4
40.97806,-124.10861,"Arcata / Eureka, Arcata Airport",KACV,54d144c,54d144d,54d144dc
38.2075,-122.27944,"Napa, Napa County Airport",KAPC,8085094,8085095,80850944
39.13333,-121.43333,"Marysville, Beale Air Force Base",KBAB,809b5ac,809b5ab,809b5ab4
35.43361,-119.05667,"Bakersfield, Meadows Field Airport",KBFL,80ea42c,80ea42b,80ea42ac
37.37111,-118.35806,"Bishop, Bishop Airport",KBIH,80be3e4,80be3e3,80be3e24
33.61917,-114.71694,"Blythe, Blythe Airport",KBLH,80d1234,80d1233,80d12334
39.27611,-120.70806,"Emigrant Gap, Blue Canyon Nyack Airport",KBLU,809b90c,809b90b,809b90ac
34.19967,-118.36538,Burbank - Bob Hope Airport,KBUR,80c295c,80c295b,80c295b4
35.28333,-116.61667,"Fort Irwin/Barstow, Bicycle Lake Army Airfield",KBYS,80c439c,80c439d,80c439d4
37.99167,-122.05194,"Concord, Buchanan Field",KCCR,808566c,808566f,808566f4
41.78028,-124.23667,"Crescent City, Jack McNamara Field Airport",KCEC,54d065c,54d065d,54d065dc
39.79879,-121.85795,Chico Municipal Airport,KCIC,8082d94,8082d91,8082d90c
34.21667,-119.08333,"Camarillo, Camarillo Airport",KCMA,80e849c,80e8499,80e84984
33.97556,-117.62361,"Chino, Chino Airport",KCNO,80dccb4,80dccb7,80dccb74
34.02355,-118.29122,Los Angeles / USC Campus Downtown,KCQT,80c2c7c,80c2c7f,80c2c7fc
33.13,-117.27583,"Carlsbad, McClellan-Palomar Airport",KCRQ,80dc734,80dc737,80dc7364
32.62611,-116.46833,Campo,KCZZ,80d974c,80d974d,80d974d4
34.85361,-116.78667,"Daggett, Barstow-Daggett Airport",KDAG,80c4f54,80c4f55,80c4f54c
34.918,-117.879,Edwards Air Force Base,KEDW,80c3b54,80c3b57,80c3b574
34.76611,-114.62333,"Needles, Needles Airport",KEED,80ce26c,80ce26b,80ce26b4
40.8098,-124.1602,Eureka WFO,EKA01,54d1554,54d1557,54d15574
36.78,-119.71944,"Fresno, Fresno Air Terminal",KFAT,80945c4,80945c3,80945c24
33.87194,-117.98472,"Fullerton, Fullerton Municipal Airport",KFUL,80dd2bc,80dd2bb,80dd2bbc
33.92361,-118.33194,"Hawthorne, Hawthorne Municipal Airport",KHHR,80c2b64,80c2b67,80c2b674
36.31145,-119.62315,Hanford Municipal Airport,KHJO,8094c4c,8094c4b,8094c4bc
37.66083,-122.11833,"Hayward, Hayward Air Terminal",KHWD,808f914,808f911,808f911c
